PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
7000,"Tritium, total",12446,Other,Radiation,,Tritium
11503,"Radium 226 + radium 228, total",12175,Other,Radiation,,Radium-226 + Radium-228
22417,Methyl tert-butyl ether [MTBE],10418,Toxic Organics,Toxic Organics,,Methyl Tert-butyl Ether (MTBE)
22456,Polynuclear Aromatic Hydrocarbons [PAHs],10100,Toxic Organics,Toxic Organics,,Polynuclear Aromatic Hydrocarbons (PAHs)
28012,"Uranium, total [in pci/L]",6439,Metals,Uranium,,Uranium
51197,Total Organic Carbon % Removal,11907,Organics,Other Organics,,"Total Organic Carbon (TOC), Percent Removal"
51173,"Cyanide, free available",5123,Inorganics,Toxic Inorganics,,"Cyanide, Free Available"
30500,"Coliform, fecal - % samples exceeding limit",10287,Toxic Organics,Toxic Organics,,Fecal Coliform
32101,Dichlorobromomethane,11660,Toxic Organics,Toxic Organics,Dichlorobromomethane,Dichlorobromomethane
32102,Carbon tetrachloride,10344,Toxic Organics,Toxic Organics,Carbon Tetrachloride,Carbon Tetrachloride
32103,"1,2-Dichloroethane",10262,Toxic Organics,Toxic Organics,"1,2-Dichloroethane","1,2-Dichloroethane"
32104,Bromoform,11673,Toxic Organics,Toxic Organics,Bromoform,Bromoform
32105,Dibromochloromethane,11664,Toxic Organics,Toxic Organics,,Dibromochloromethane
32106,Chloroform,10345,Toxic Organics,Toxic Organics,Chloroform,Chloroform
34010,Toluene,10161,Toxic Organics,Toxic Organics,Toluene,Toluene
34030,Benzene,603,Toxic Organics,Toxic Organics,Benzene,Benzene
3520,"Radiation, gross beta",10969,Other,Other,,"Radiation, Gross Beta"
3582,Oil and grease,10364,Other,Fuel,,Oil and Grease
3615,"2-Methyl-4,6-dinitrophenol",10384,Toxic Organics,Toxic Organics,"2-Methyl-4,6-Dinitrophenol","4,6-Dinitro-2-methylphenol"
3824,Tributyltin,12269,Metals,Tin,,Tributyltin (TBT)
39516,Polychlorinated biphenyls [PCBs],10001,Inorganics,Disinfectants,,"Polychlorinated Biphenyls (PCBs), Sum"
39570,Diazinon,10408,Toxic Organics,Toxic Organics,,Diazinon
46225,Chloride,5033,Solids,Dissolved Solids,,Chloride
39100,Di[2-ethylhexyl] phthalate [DEHP],10005,Toxic Organics,Toxic Organics,,No Match (confirmed)
39110,Di-n-butyl phthalate,10007,Toxic Organics,Toxic Organics,Di-n-Butyl Phthalate,Di-n-butyl Phthalate
39117,Phthalate esters,10630,Toxic Organics,Toxic Organics,,Phthalate Esters
39300,"4,4'-DDT",10125,Toxic Organics,Toxic Organics,,"4,4-DDT"
39310,"4,4'-DDD",10126,Toxic Organics,Toxic Organics,,"4,4-DDD"
39320,"4,4'-DDE",10127,Toxic Organics,Toxic Organics,,"4,4-DDE"
39350,Chlordane [tech mix. and metabolites],11080,Toxic Organics,Toxic Organics,,Chlordane
39379,"DDT/DDD/DDE, sum of p,p' & o,p' isomers",11135,Toxic Organics,Toxic Organics,,"DDT/DDD/DDE, Sum of P,P & O,P Isomers"
39380,Dieldrin,10039,Toxic Organics,Toxic Organics,Dieldrin,Dieldrin
39400,Toxaphene,4234,Toxic Organics,Toxic Organics,Toxaphene,Toxaphene
39410,Heptachlor,10748,Toxic Organics,Toxic Organics,Heptachlor,Heptachlor
34408,Isophorone,10042,Toxic Organics,Toxic Organics,Isophorone,Isophorone
34423,Methylene chloride,10340,Toxic Organics,Toxic Organics,Methylene Chloride,Methylene Chloride
34428,N-Nitrosodi-N-propylamine,10689,Toxic Organics,Toxic Organics,N-Nitrosodi-n-Propylamine,N-Nitrosodi-n-Propylamine
34433,N-Nitrosodiphenylamine,10121,Toxic Organics,Toxic Organics,N-Nitrosodiphenylamine,N-Nitrosodiphenylamine
34438,N-Nitrosodimethylamine [NDMA],10335,Toxic Organics,Toxic Organics,,N-Nitrosodimethylamine
Toxicity,TU Static 72Hr Chronic Strongyl. purpuratus,NA,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
70295,"Solids, total dissolved",4151,Solids,Suspended Solids,,Total Dissolved Solids (TDS)
51040,E. coli,10251,Pathogens,Pathogens,,E.coli
51061,Flow [dry weather],11313,Flow,Flow,,Flow
34675,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",10239,Toxic Organics,Toxic Organics,,"2,3,7,8-TCDD (Dioxin)"
38260,Surfactants [MBAS],10475,Toxic Organics,Toxic Organics,,Methylene Blue Active Substances (MBAS)
34210,Acrolein,10054,Toxic Organics,Toxic Organics,Acrolein,Acrolein
34215,Acrylonitrile,10057,Toxic Organics,Toxic Organics,Acrylonitrile,Acrylonitrile
34247,Benzo[a]pyrene,10174,Toxic Organics,Toxic Organics,Benzo(a)Pyrene,Benzo(a)pyrene
34273,Bis[2-chloroethyl] ether,10254,Toxic Organics,Toxic Organics,Bis(2-Chloroethyl)Ether,Bis (2-Chloroethyl) Ether
34278,Bis[2-chloroethoxy]methane,11248,Toxic Organics,Toxic Organics,Bis(2-Chloroethoxy)Methane,Bis (2-Chloroethoxy) Methane
34283,Bis[2-chloroisopropyl] ether,12149,Toxic Organics,Toxic Organics,Bis(2-Chloroisopropyl)Ether,Bis (2-Chloroisopropyl) Ether
34301,Chlorobenzene,10151,Toxic Organics,Toxic Organics,Chlorobenzene,Chlorobenzene
34306,Chlorodibromomethane,11664,Toxic Organics,Toxic Organics,Chlorodibromomethane,No Match (confirmed)
34336,Diethyl phthalate,10008,Toxic Organics,Toxic Organics,Diethyl Phthalate,Diethyl Phthalate
34341,Dimethyl phthalate,10631,Toxic Organics,Toxic Organics,Dimethyl Phthalate,Dimethyl Phthalate
34346,"1,2-Diphenylhydrazine",11399,Toxic Organics,Toxic Organics,"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine"
34371,Ethylbenzene,10157,Toxic Organics,Toxic Organics,Ethylbenzene,Ethylbenzene
34376,Fluoranthene,7822,Toxic Organics,Toxic Organics,Fluoranthene,Fluoranthene
34386,Hexachlorocyclopentadiene,10662,Toxic Organics,Toxic Organics,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene
34391,Hexachlorobutadiene,10017,Toxic Organics,Toxic Organics,Hexachlorobutadiene,Hexachlorobutadiene
34396,Hexachloroethane,10266,Toxic Organics,Toxic Organics,Hexachloroethane,Hexachloroethane
34403,"Indeno[1,2,3-cd]pyrene",10313,Toxic Organics,Toxic Organics,"Indeno(1,2,3-cd) Pyrene","Indeno (1,2,3-cd) Pyrene"
50050,"Flow, in conduit or thru treatment plant",11315,Flow,Flow,,Flow
50060,"Chlorine, total residual",928,Inorganics,Disinfectants,,"Chlorine, Total Residual"
50064,"Chlorine, free available",928,Inorganics,Disinfectants,,"Chlorine, Free Available"
34447,Nitrobenzene,10164,Toxic Organics,Toxic Organics,Nitrobenzene,Nitrobenzene
34475,Tetrachloroethylene,10284,Toxic Organics,Toxic Organics,Tetrachloroethylene,Tetrachloroethene
34501,"1,1-Dichloroethylene",10278,Toxic Organics,Toxic Organics,"1,1-Dichloroethylene","1,1-Dichloroethylene"
34506,"1,1,1-Trichloroethane",10256,Toxic Organics,Toxic Organics,"1,1,1-Trichloroethane","1,1,1-Trichloroethane"
34511,"1,1,2-Trichloroethane",10258,Toxic Organics,Toxic Organics,"1,1,2-Trichloroethane","1,1,2-Trichloroethane"
34516,"1,1,2,2-Tetrachloroethane",10257,Toxic Organics,Toxic Organics,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane"
34571,"1,4-Dichlorobenzene",10140,Toxic Organics,Toxic Organics,,"1,4-Dichlorobenzene"
34611,"2,4-Dinitrotoluene",10144,Toxic Organics,Toxic Organics,"2,4-Dinitrotoluene","2,4-Dinitrotoluene"
34616,"2,4-Dinitrophenol",12011,Toxic Organics,Toxic Organics,"2,4-Dinitrophenol","2,4-Dinitrophenol"
34621,"2,4,6-Trichlorophenol",12007,Toxic Organics,Toxic Organics,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol"
34631,"3,3'-Dichlorobenzidine",12519,Toxic Organics,Toxic Organics,,"3,3-Dichlorobenzidine"
61211,Enterococci,11237,Pathogens,Pathogens,,Enterococci
61736,"Turbidity, time above limit",12454,Color and Turbidity,Turbidity,,Turbidity
78218,"Phenolic compounds, unchlorinated",10397,Inorganics,Disinfectants,,"Phenols, Non-chlorinated"
82077,"Radiation, gross alpha",10804,Other,Other,,"Radiation, Gross Alpha"
82080,"Trihalomethane, tot.",10489,Toxic Organics,Toxic Organics,,Total Trihalomethanes (TTHM)
82126,"Tritium, total",12446,Other,Radiation,,Tritium
74055,"Coliform, fecal general",10287,Toxic Organics,Toxic Organics,,Fecal Coliform
74056,"Coliform, total general",4146,Toxic Organics,Toxic Organics,,Total Coliform
81383,"Carbonaceous oxygen demand, % removal",10853,Organics,COD,,No Match (confirmed)
81403,Chlorpyrifos,12079,Toxic Organics,Toxic Organics,,Chlorpyrifos
81524,Dichlorobenzene,10152,Toxic Organics,Toxic Organics,,"Dichlorobenzenes, Sum"
78248,"Cyanide, total recoverable",5123,Inorganics,Toxic Inorganics,,No Match (confirmed)
78456,Halomethanes,11379,Toxic Organics,Toxic Organics,,"Halomethanes, Sum"
78480,Effluent dilution ratio,11232,Flow,Flow,,Dilution Rate
77835,"Hexachlorocyclohexane, total",11128,Toxic Organics,Toxic Organics,,"Hexachlorocyclohexanes, Sum"
80045,"Alpha, gross particle activity",10804,Other,Other,,"Radiation, Gross Alpha"
80082,"BOD, carbonaceous [5 day, 20 C]",10107,Organics,COD,,Carbonaceous Biochemical Oxygen Demand (CBOD) (5-day @ 20 Deg. C)
80091,"BOD, carb-5 day, 20 deg C, percent removal",10852,Organics,COD,,"Carbonaceous Biochemical Oxygen Demand (CBOD) (5-day @ 20 Deg. C), Percent Removal"
81010,"BOD, 5-day, percent removal",10846,Organics,COD,,"BOD5 @ 20 Deg. C, Percent Removal"
81011,"Solids, suspended percent removal",12240,Solids,Suspended Solids,,"Total Suspended Solids (TSS), Percent Removal"
74015,"Phenols, chlorinated",10390,Inorganics,Disinfectants,,"Phenols, Chlorinated"
95,Specific conductance,12263,Solids,Dissolved Solids,,Specific Conductance
175,"Nitrogen, ammonia, percent removal",375,Nutrients,Nitrogen,,No Match (confirmed)
183,"Chlorine, total residual, duration of violation",11094,Inorganics,Disinfectants,,"Chlorine, Total Residual"
300,"Oxygen, dissolved [DO]",3051,Nutrients,Dissolved Oxygen,,Dissolved Oxygen
310,"BOD, 5-day, 20 deg. C",10178,Organics,COD,,Biochemical Oxygen Demand (BOD) (5-day @ 20 Deg. C)
400,pH,10510,pH,pH,,pH
945,"Sulfate, total [as SO4]",6101,Solids,Dissolved Solids,,"Sulfate, Total (as SO4)"
82581,"pH range excursions, > 60 minutes",12526,pH,pH,,No Match (confirmed)
82582,"pH range excursions, monthly total accum",12532,pH,pH,,No Match (confirmed)
82698,TCDD equivalents,10711,Toxic Organics,Toxic Organics,,TCDD Equivalents
71901,"Mercury, total recoverable",2448,Metals,Mercury,,"Mercury, Total Recoverable"
982,"Thallium, total recoverable",4068,Metals,Thallium,,"Thallium, Total Recoverable"
923,"Sodium, total recoverable",6802,Solids,Dissolved Solids,,"Sodium, Total Recoverable"
998,"Beryllium, total recoverable [as Be]",4915,Metals,Beryllium,,"Beryllium, Total Recoverable"
999,"Boron, total recoverable",10987,Inorganics,Toxic Inorganics,,"Boron, Total Recoverable"
665,"Phosphorus, total [as P]",5889,Nutrients,Phosphorus,,"Phosphorus, Total (as P)"
1062,"Molybdenum, total [as Mo]",6658,Metals,Molybdenum,,"Molybdenum, Total"
1074,"Nickel, total recoverable",2741,Metals,Nickel,,"Nickel, Total Recoverable"
1079,Silver total recoverable,3714,Metals,Silver,,"Silver, Total Recoverable"
1094,"Zinc, total recoverable",6352,Metals,Zinc,,"Zinc, Total Recoverable"
1104,"Aluminum, total recoverable",360,Metals,Aluminum,,"Aluminum, Total Recoverable"
1113,"Cadmium, total recoverable",776,Metals,Cadmium,,"Cadmium, Total Recoverable"
1114,"Lead, total recoverable",6562,Metals,Lead,,"Lead, Total Recoverable"
1118,"Chromium, total recoverable",1012,Metals,Chromium,,"Chromium, Total Recoverable"
1119,"Copper, total recoverable",1165,Metals,Copper,,"Copper, Total Recoverable"
1268,"Antimony, total recoverable",4871,Metals,Antimony,,"Antimony, Total Recoverable"
1032,"Chromium, hexavalent [as Cr]",10214,Metals,Chromium,,Chromium (IV)
1033,"Chromium, trivalent [as Cr]",10215,Metals,Chromium,,Chromium (III)
3530,"Radiation,Gross Beta Particle Activity",99999,Other,Other,,"Radiation, Gross Beta"
51409,Specific Conductance,99999,Solids,Dissolved Solids,,Specific Conductance
10,"Temperature, water deg. centigrade",6128,Temperature,Temperature,,Temperature
11,"Temperature, water deg. fahrenheit",12389,Temperature,Temperature,,Temperature
18,Temp. diff. between samp. & upstrm deg. F,12373,Temperature,Temperature,,Temperature Difference Between Sample and Upstream
70,Turbidity,6638,Color and Turbidity,Turbidity,,Turbidity
51543,Temperature Increase Deg. F,12389,Temperature,Temperature,,No Match (confirmed)
978,"Arsenic, total recoverable",467,Metals,Arsenic,,"Arsenic, Total Recoverable"
980,"Iron, total recoverable",2215,Metals,Iron,,"Iron, Total Recoverable"
981,"Selenium, total recoverable",3666,Metals,Selenium,,"Selenium, Total Recoverable"
530,"Solids, total suspended",10486,Solids,Suspended Solids,,Total Suspended Solids (TSS)
545,"Solids, settleable",12208,Solids,Suspended Solids,,Settleable Solids
556,Oil & Grease,10364,Other,Fuel,,Oil and Grease
600,"Nitrogen, total [as N]",2817,Nutrients,Nitrogen,,"Nitrogen, Total (as N)"
610,"Nitrogen, ammonia total [as N]",375,Nutrients,Nitrogen,,"Ammonia, Total (as N)"
612,"Nitrogen, ammonia, tot unionized [as N]",375,Nutrients,Nitrogen,,"Ammonia, Unionized (as N)"
615,"Nitrogen, nitrite total [as N]",2806,Nutrients,Nitrogen,,"Nitrite, Total (as NO2)"
619,"Ammonia, unionized",375,Nutrients,Nitrogen,,"Ammonia, Unionized (as N)"
620,"Nitrogen, nitrate total [as N]",5713,Nutrients,Nitrogen,,"Nitrate, Total (as N)"
630,Nitrite + Nitrate total [as N],10354,Nutrients,Nitrogen,,Nitrite Plus Nitrate (as N)
640,"Nitrogen, inorganic total",2817,Nutrients,Nitrogen,,"Nitrate, Total (as N)"
940,Chloride [as Cl],5033,Solids,Dissolved Solids,,Chloride
680,"Carbon, tot organic [TOC]",6656,Organics,COD,,Total Organic Carbon (TOC)
720,"Cyanide, total [as CN]",5123,Inorganics,Toxic Inorganics,,"Cyanide, Total (as CN)"
